date,product_id,product_name,category,units_sold,day_of_week,week_number,month
2025-08-10,PROD-001,Wireless Mouse,Electronics,61,Sunday,32,2025-08
2025-08-11,PROD-001,Wireless Mouse,Electronics,39,Monday,33,2025-08
2025-08-12,PROD-001,Wireless Mouse,Electronics,45,Tuesday,33,2025-08
2025-08-13,PROD-001,Wireless Mouse,Electronics,56,Wednesday,33,2025-08
2025-08-14,PROD-001,Wireless Mouse,Electronics,45,Thursday,33,2025-08
2025-08-15,PROD-001,Wireless Mouse,Electronics,50,Friday,33,2025-08
2025-08-16,PROD-001,Wireless Mouse,Electronics,72,Saturday,33,2025-08
2025-08-17,PROD-001,Wireless Mouse,Electronics,67,Sunday,33,2025-08
2025-08-18,PROD-001,Wireless Mouse,Electronics,40,Monday,34,2025-08
2025-08-19,PROD-001,Wireless Mouse,Electronics,47,Tuesday,34,2025-08
2025-08-20,PROD-001,Wireless Mouse,Electronics,45,Wednesday,34,2025-08
2025-08-21,PROD-001,Wireless Mouse,Electronics,46,Thursday,34,2025-08
2025-08-22,PROD-001,Wireless Mouse,Electronics,56,Friday,34,2025-08
2025-08-23,PROD-001,Wireless Mouse,Electronics,52,Saturday,34,2025-08
2025-08-24,PROD-001,Wireless Mouse,Electronics,53,Sunday,34,2025-08
2025-08-25,PROD-001,Wireless Mouse,Electronics,41,Monday,35,2025-08
2025-08-26,PROD-001,Wireless Mouse,Electronics,38,Tuesday,35,2025-08
2025-08-27,PROD-001,Wireless Mouse,Electronics,53,Wednesday,35,2025-08
2025-08-28,PROD-001,Wireless Mouse,Electronics,45,Thursday,35,2025-08
2025-08-29,PROD-001,Wireless Mouse,Electronics,47,Friday,35,2025-08
2025-08-30,PROD-001,Wireless Mouse,Electronics,77,Saturday,35,2025-08
2025-08-31,PROD-001,Wireless Mouse,Electronics,65,Sunday,35,2025-08
2025-09-01,PROD-001,Wireless Mouse,Electronics,47,Monday,36,2025-09
2025-09-02,PROD-001,Wireless Mouse,Electronics,37,Tuesday,36,2025-09
2025-09-03,PROD-001,Wireless Mouse,Electronics,48,Wednesday,36,2025-09
2025-09-04,PROD-001,Wireless Mouse,Electronics,52,Thursday,36,2025-09
2025-09-05,PROD-001,Wireless Mouse,Electronics,49,Friday,36,2025-09
2025-09-06,PROD-001,Wireless Mouse,Electronics,70,Saturday,36,2025-09
2025-09-07,PROD-001,Wireless Mouse,Electronics,63,Sunday,36,2025-09
2025-09-08,PROD-001,Wireless Mouse,Electronics,45,Monday,37,2025-09
2025-09-09,PROD-001,Wireless Mouse,Electronics,42,Tuesday,37,2025-09
2025-09-10,PROD-001,Wireless Mouse,Electronics,64,Wednesday,37,2025-09
2025-09-11,PROD-001,Wireless Mouse,Electronics,51,Thursday,37,2025-09
2025-09-12,PROD-001,Wireless Mouse,Electronics,49,Friday,37,2025-09
2025-09-13,PROD-001,Wireless Mouse,Electronics,72,Saturday,37,2025-09
2025-09-14,PROD-001,Wireless Mouse,Electronics,58,Sunday,37,2025-09
2025-09-15,PROD-001,Wireless Mouse,Electronics,47,Monday,38,2025-09
2025-09-16,PROD-001,Wireless Mouse,Electronics,32,Tuesday,38,2025-09
2025-09-17,PROD-001,Wireless Mouse,Electronics,42,Wednesday,38,2025-09
2025-09-18,PROD-001,Wireless Mouse,Electronics,52,Thursday,38,2025-09
2025-09-19,PROD-001,Wireless Mouse,Electronics,33,Friday,38,2025-09
2025-09-20,PROD-001,Wireless Mouse,Electronics,66,Saturday,38,2025-09
2025-09-21,PROD-001,Wireless Mouse,Electronics,64,Sunday,38,2025-09
2025-09-22,PROD-001,Wireless Mouse,Electronics,42,Monday,39,2025-09
2025-09-23,PROD-001,Wireless Mouse,Electronics,34,Tuesday,39,2025-09
2025-09-24,PROD-001,Wireless Mouse,Electronics,44,Wednesday,39,2025-09
2025-09-25,PROD-001,Wireless Mouse,Electronics,46,Thursday,39,2025-09
2025-09-26,PROD-001,Wireless Mouse,Electronics,61,Friday,39,2025-09
2025-09-27,PROD-001,Wireless Mouse,Electronics,65,Saturday,39,2025-09
2025-09-28,PROD-001,Wireless Mouse,Electronics,51,Sunday,39,2025-09
2025-09-29,PROD-001,Wireless Mouse,Electronics,45,Monday,40,2025-09
2025-09-30,PROD-001,Wireless Mouse,Electronics,40,Tuesday,40,2025-09
2025-10-01,PROD-001,Wireless Mouse,Electronics,43,Wednesday,40,2025-10
2025-10-02,PROD-001,Wireless Mouse,Electronics,51,Thursday,40,2025-10
2025-10-03,PROD-001,Wireless Mouse,Electronics,59,Friday,40,2025-10
2025-10-04,PROD-001,Wireless Mouse,Electronics,67,Saturday,40,2025-10
2025-10-05,PROD-001,Wireless Mouse,Electronics,55,Sunday,40,2025-10
2025-10-06,PROD-001,Wireless Mouse,Electronics,40,Monday,41,2025-10
2025-10-07,PROD-001,Wireless Mouse,Electronics,44,Tuesday,41,2025-10
2025-10-08,PROD-001,Wireless Mouse,Electronics,53,Wednesday,41,2025-10
2025-10-09,PROD-001,Wireless Mouse,Electronics,43,Thursday,41,2025-10
2025-10-10,PROD-001,Wireless Mouse,Electronics,49,Friday,41,2025-10
2025-10-11,PROD-001,Wireless Mouse,Electronics,52,Saturday,41,2025-10
2025-10-12,PROD-001,Wireless Mouse,Electronics,52,Sunday,41,2025-10
2025-10-13,PROD-001,Wireless Mouse,Electronics,47,Monday,42,2025-10
2025-10-14,PROD-001,Wireless Mouse,Electronics,50,Tuesday,42,2025-10
2025-10-15,PROD-001,Wireless Mouse,Electronics,45,Wednesday,42,2025-10
2025-10-16,PROD-001,Wireless Mouse,Electronics,53,Thursday,42,2025-10
2025-10-17,PROD-001,Wireless Mouse,Electronics,53,Friday,42,2025-10
2025-10-18,PROD-001,Wireless Mouse,Electronics,56,Saturday,42,2025-10
2025-10-19,PROD-001,Wireless Mouse,Electronics,63,Sunday,42,2025-10
2025-10-20,PROD-001,Wireless Mouse,Electronics,52,Monday,43,2025-10
2025-10-21,PROD-001,Wireless Mouse,Electronics,42,Tuesday,43,2025-10
2025-10-22,PROD-001,Wireless Mouse,Electronics,58,Wednesday,43,2025-10
2025-10-23,PROD-001,Wireless Mouse,Electronics,30,Thursday,43,2025-10
2025-10-24,PROD-001,Wireless Mouse,Electronics,58,Friday,43,2025-10
2025-10-25,PROD-001,Wireless Mouse,Electronics,63,Saturday,43,2025-10
2025-10-26,PROD-001,Wireless Mouse,Electronics,61,Sunday,43,2025-10
2025-10-27,PROD-001,Wireless Mouse,Electronics,44,Monday,44,2025-10
2025-10-28,PROD-001,Wireless Mouse,Electronics,30,Tuesday,44,2025-10
2025-10-29,PROD-001,Wireless Mouse,Electronics,48,Wednesday,44,2025-10
2025-10-30,PROD-001,Wireless Mouse,Electronics,52,Thursday,44,2025-10
2025-10-31,PROD-001,Wireless Mouse,Electronics,65,Friday,44,2025-10
2025-11-01,PROD-001,Wireless Mouse,Electronics,62,Saturday,44,2025-11
2025-11-02,PROD-001,Wireless Mouse,Electronics,61,Sunday,44,2025-11
2025-11-03,PROD-001,Wireless Mouse,Electronics,43,Monday,45,2025-11
2025-11-04,PROD-001,Wireless Mouse,Electronics,53,Tuesday,45,2025-11
2025-11-05,PROD-001,Wireless Mouse,Electronics,54,Wednesday,45,2025-11
2025-11-06,PROD-001,Wireless Mouse,Electronics,49,Thursday,45,2025-11
2025-11-07,PROD-001,Wireless Mouse,Electronics,62,Friday,45,2025-11
2025-11-08,PROD-001,Wireless Mouse,Electronics,70,Saturday,45,2025-11
2025-11-09,PROD-001,Wireless Mouse,Electronics,77,Sunday,45,2025-11
2025-11-10,PROD-001,Wireless Mouse,Electronics,44,Monday,46,2025-11
